Europe,1777449
    United Kingdom,1691677
      Northern Ireland,1608853
      England,64717
      Scotland,15455
      Wales,2552
      UK part not specified,100
    Republic of Ireland,37872
      Ireland,37833
      Island of Ireland (Not otherwise specified),39
    Channel Islands and Isle of Man,693
      Isle Of Man,396
      Jersey ,143
      Guernsey,125
      Channel Islands (Not otherwise specified),29
    EU Countries,45331
      Poland,19658
      Lithuania,7341
      Germany,3908
      Slovakia,2681
      Latvia,2297
      Portugal,1996
      Romania,1094
      Hungary,999
      France,911
      Spain,703
      Czech Republic,662
      Bulgaria,649
      Italy,538
      Netherlands,515
      Malta,198
      Belgium,184
      Sweden,169
      Greece,164
      Gibraltar,139
      Austria,109
      Denmark,104
      Estonia,99
      Finland,73
      Canary Islands ,25
      Slovenia,23
      Luxembourg,21
      EU Countries (Other),14
      Former European Countries,57
        Union of Soviet Socialist Republics (Not otherwise specified),30
        Czechoslovakia (Not otherwise specified),16
        Yugoslavia (Not otherwise specified),11
    Non EU countries in Northern and Western Europe,224
      Switzerland,112
      Norway,83
      Iceland,25
      Non EU countries in Northern and Western Europe (Other),4
    Non EU countries in Southern and Eastern Europe,1652
      Turkey,377
      Russia,349
      Cyprus (Not otherwise specified),344
      Ukraine,245
      Belarus,62
      Moldova,62
      Albania,55
      Kosovo,44
      Croatia,33
      Serbia,32
      Macedonia,13
      Bosnia and Herzegovina,11
      Non EU countries in Southern and Eastern Europe (Other),25
  Africa,5581
    Africa Not Otherwise Specified,58
    North Africa,725
      Egypt,195
      Sudan,165
      Algeria,132
      Morocco,104
      Libya,79
      Tunisia,49
      North Africa (Other),1
    Central and Western Africa,1108
      Nigeria,543
      Ghana,162
      Guinea-Bissau,115
      Angola,52
      Cameroon,48
      Ivory Coast,28
"      Gambia, The",26
      Sierra Leone,25
      Cape Verde,20
      Congo (Democratic Republic),19
      Liberia,18
      Sao Tome and Principe,14
      St Helena,11
      Central and Western Africa (Other),27
    South and Eastern Africa,3690
      South Africa,1847
      Zimbabwe,657
      Kenya,301
      Zambia,285
      Malawi,94
      Somalia,88
      Mauritius,83
      Uganda,82
      Tanzania,76
      Botswana,38
      Mozambique,36
      Ethiopia,27
      Eritrea,24
      Seychelles,13
      Swaziland,13
      Lesotho,12
      South and Eastern Africa (Other),14
  Middle East and Asia,17293
    Middle East,1071
      Iran,282
      Saudi Arabia,269
      Iraq,75
      Israel,64
      United Arab Emirates,63
      Jordan,61
      Kuwait,57
      Lebanon,52
      Yemen,34
      Syria,31
      Occupied Palestinian Territories,28
      Bahrain,26
      Oman,13
      Middle East (Not otherwise specified),11
      Middle East (Other),5
    Eastern Asia,4498
      China,2223
      Hong Kong,1906
      Japan,144
      Korea (South),92
      Taiwan,88
      Macao (Special administrative region of China),39
      Eastern Asia (Other),6
    Southern Asia,6042
      India,4796
      Pakistan,620
      Bangladesh,360
      Sri Lanka,123
      Nepal,105
      Afghanistan,36
      Southern Asia (other),2
    South-East Asia,5625
      Philippines,2947
      East Timor,894
      Malaysia,705
      Thailand,469
      Singapore,274
      Vietnam,158
      Indonesia,74
      Brunei,35
      Burma,30
      Asia (Except Middle East) (Not otherwise specified),23
      Cambodia,10
      South-East Asia (Other),6
    Central Asia,57
      Kazakhstan,43
      Central Asia (Other),14
  North America and the Caribbean,6999
    Canada,2323
    Caribbean,314
      Jamaica,117
      Trinidad and Tobago,62
      Cuba,22
      St Vincent and the Grenadines,18
      St Lucia,17
      Barbados,10
      Caribbean (Other),68
    USA,4251
    Other North America,111
      Bermuda,97
      North America (Not otherwise specified),12
      Other North America (Other),2
  Central America,194
    Mexico,86
    Guatemala,30
    Belize,22
    Panama,18
    Honduras,17
    Central America (Other),21
  South America,875
    Brazil,384
    Peru,95
    Colombia,72
    Argentina,69
    Chile,68
    Guyana,56
    Venezuela,53
    Ecuador,28
    Falkland Islands,23
    Bolivia,10
    South America (Other),17
  Antarctica and Oceania,2468
    Australia,1750
    New Zealand,584
    Other Antarctica and Oceania,134
      Fiji,113
      Other Antarctica and Oceania (Other),21
  Other,4